"id,class Name,years,is_mandatory,prerequisites,jobs"
"63,Accounting,12,no,L2 Accounting,Teacher,Accountant,Financial Analyst"
"107,Physical Education,13,no,,Coach,PE Teacher,Personal Trainer"
"61,Physics,12,no,Science, Mathematics,Physicist,Engineer,Researcher"
"89,Physics,13,no,Science, Mathematics,Physicist,Engineer,Researcher"
"57,Practical Computing,11,no,,Software Developer,IT Support,Programmer"
"58,Product & Digital Design,11,no,,Graphic Designer,Product Designer,Illustrator"
"5,Science,9,yes,,Scientist,Researcher,Lab Technician"
"6,Science,10,yes,,Scientist,Researcher,Lab Technician"
"42,Science,11,yes,,Scientist,Researcher,Lab Technician"
"7,Social Sciences,9,yes,,Sociologist,Social Worker,Policy Analyst"
"8,Social Sciences,10,yes,,Sociologist,Social Worker,Policy Analyst"
"56,Software Engineering,11,no,,Software Developer,Programmer,IT Consultant"
"71,Software Engineering & Computer Science,12,no,,Software Developer,Programmer,IT Consultant"
"37,Spanish,9,no,,Translator,Language Teacher,Interpreter"
"38,Spanish,10,no,,Translator,Language Teacher,Interpreter"
"78,Sports Leadership & Performance,13,no,,Coach,Athlete Manager,Personal Trainer"
"76,Statistics,13,no,12 credits in L2 Maths incl. Probability,Statistician,Data Analyst,Actuary"
"39,Te Reo Māori,9,no,,Translator,Language Teacher,Interpreter"
"40,Te Reo Māori,10,no,,Translator,Language Teacher,Interpreter"
"45,Visual Art,11,no,,Graphic Designer,Visual Artist,Illustrator"
"67,Visual English,12,no,10 credits in L2 English,Writer,Editor,Teacher"
